ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
318926,80,E,3,61,62938,1.279,102.779,38.735774,-121.278088,0.931,HV,1,Darling Way,1,,,
318927,80,E,3,61,62938,1.279,102.779,38.735774,-121.278088,0.731,ML,4,Darling Way,1,,,
318933,80,W,3,61,62938,1.283,102.783,38.735947,-121.27826,0.599,HV,1,Darling Way,1,,,
318934,80,W,3,61,62938,1.283,102.783,38.735947,-121.27826,0.599,ML,3,Darling Way,1,,,
318941,80,E,3,61,62938,2.539,104.039,38.751289,-121.26592,0.864,HV,1,Lead Hills Dr,1,,,
318942,80,E,3,61,,R9.528,111.028,38.825204,-121.178851,0.578,ML,4,Lead Hills Dr,1,,,
318949,80,W,3,61,62938,2.534,104.034,38.751298,-121.266146,0.456,HV,1,Lead Hills Dr,1,,,
318950,80,W,3,61,62938,2.534,104.034,38.751298,-121.266146,0.456,ML,4,Lead Hills Dr,1,,,
318960,50,W,3,67,,R9.334,14.968,38.57733,-121.31083,0.442,HV,1,SB Mather Field Rd,1,,,
318961,50,W,3,67,,R9.334,14.968,38.57733,-121.31083,0.442,ML,5,SB Mather Field Rd,1,,,
318962,50,W,3,67,,R9.334,14.968,38.57733,-121.31083,,OR,1,SB Mather Field Rd,1,,,
318972,50,E,3,67,,15.224,20.894,38.62644,-121.225171,0.352,HV,1,NB Mather Field Rd,1,,,
318973,50,E,3,67,,15.224,20.894,38.62644,-121.225171,0.352,ML,4,NB Mather Field Rd,1,,,
318974,50,E,3,67,,15.224,20.894,38.62644,-121.225171,,OR,1,NB Mather Field Rd,1,,,
318985,50,E,3,67,,R10.848,16.482,38.590248,-121.288414,1.2,HV,1,SB Zinfandel Dr,1,,,
318987,50,E,3,67,,R10.848,16.482,38.590248,-121.288414,,OR,1,SB Zinfandel Dr,1,,,
318993,50,E,3,67,,R10.85,16.484,38.590266,-121.288385,0.824,ML,4,Off Zinfandel Dr,1,,,
319004,50,W,3,67,,R9.57,15.204,38.579123,-121.307127,0.38,HV,1,NB Mather Field Rd,1,,,
319015,50,E,3,67,,16.6,22.27,38.637717,-121.203875,0.41,HV,1,NB Zinfandel Dr,1,,,
319016,50,E,3,67,,16.6,22.27,38.637717,-121.203875,0.41,ML,4,NB Zinfandel Dr,1,,,
319017,50,E,3,67,,16.6,22.27,38.637717,-121.203875,,OR,2,NB Zinfandel Dr,1,,,
319019,50,W,3,67,,12.46,18.13,38.608894,-121.271067,1.276,HV,1,NB Sunrise Blvd,1,,,
319028,51,S,3,67,64000,7.586,7.568,38.635752,-121.388176,,OR,2,Auburn Blvd,1,,,
319032,65,N,3,61,,R15.457,75.219,38.886033,-121.339122,3.487,ML,2,N of Auburn Rvn Brdg,1,,,
