Timestamp,Location Identifier,Total Flow
7/1/2013 0:00,200,13606
7/1/2013 0:00,201,3616
7/1/2013 0:00,300,8981
7/1/2013 0:00,301,973
7/1/2013 0:00,500,12911
7/1/2013 0:00,501,2279
7/1/2013 0:00,700,3287
7/1/2013 0:00,701,11280
7/1/2013 0:00,900,0
7/1/2013 0:00,901,0
7/1/2013 0:00,1100,8095
7/1/2013 0:00,1101,5995
7/1/2013 0:00,1600,524
7/1/2013 0:00,1601,479
7/1/2013 0:00,2500,1804
7/1/2013 0:00,2501,4454
7/1/2013 0:00,3100,2442
7/1/2013 0:00,3101,11947
7/1/2013 0:00,3400,8514
7/1/2013 0:00,3401,11534
7/1/2013 0:00,3501,15808
7/1/2013 0:00,3502,2154
7/1/2013 0:00,3700,4599
7/1/2013 0:00,3701,3773
7/1/2013 0:00,4100,3877
7/1/2013 0:00,4201,2831
7/1/2013 0:00,4300,5386
7/1/2013 0:00,4301,3452
7/1/2013 0:00,4600,9125
7/1/2013 0:00,4601,5022
7/1/2013 0:00,4800,0
7/1/2013 0:00,4801,0
7/1/2013 0:00,5001,0
7/1/2013 0:00,5100,0
7/1/2013 0:00,5200,5239
7/1/2013 0:00,5201,16747
7/1/2013 0:00,5300,363
7/1/2013 0:00,5301,4035
7/1/2013 0:00,6000,1276
7/1/2013 0:00,6001,8711
7/1/2013 0:00,6700,12103
7/1/2013 0:00,6701,5213
7/1/2013 0:00,8000,6818
7/1/2013 0:00,8001,9949
7/1/2013 0:00,8101,1960
7/1/2013 0:00,8200,11045
7/1/2013 0:00,8300,2702
7/1/2013 0:00,8301,3437
7/1/2013 0:00,8500,1983
7/1/2013 0:00,8501,5591
7/1/2013 0:00,8600,5875
7/1/2013 0:00,8601,4073
7/1/2013 0:00,10101,0
7/1/2013 0:00,10200,0
7/1/2013 0:00,10400,0
7/1/2013 0:00,10401,0
7/1/2013 0:00,11000,3735
7/1/2013 0:00,11001,994
7/1/2013 0:00,11100,1718
7/1/2013 0:00,11101,9982
7/1/2013 0:00,11200,8186
7/1/2013 0:00,12000,3704
7/1/2013 0:00,12001,1138
7/1/2013 0:00,12700,0
7/1/2013 0:00,12701,0
7/1/2013 0:00,12800,0
7/1/2013 0:00,12801,0
7/1/2013 0:00,13000,4411
7/1/2013 0:00,13001,7198
7/1/2013 0:00,13100,0
7/1/2013 0:00,13101,0
7/1/2013 0:00,13200,11038
7/1/2013 0:00,13301,522
7/1/2013 0:00,13400,0
7/1/2013 0:00,13501,0
7/1/2013 0:00,13600,2789
7/1/2013 0:00,13601,737
7/1/2013 0:00,14000,0
7/1/2013 0:00,14001,0
7/1/2013 0:00,14100,6170
7/1/2013 0:00,14101,1506
7/1/2013 0:00,14200,2075
7/1/2013 0:00,14201,7468
7/1/2013 0:00,14800,0
7/1/2013 0:00,14801,0
7/1/2013 0:00,14901,0
7/1/2013 0:00,15000,0
7/1/2013 0:00,15001,0
7/1/2013 0:00,15500,2058
7/1/2013 0:00,15501,1893
7/1/2013 0:00,15600,4930
7/1/2013 0:00,15601,4614
7/1/2013 0:00,15900,11202
7/1/2013 0:00,15901,12120
7/1/2013 0:00,16100,803
7/1/2013 0:00,16101,2601
7/1/2013 0:00,16200,0
7/1/2013 0:00,16900,0
7/1/2013 0:00,16901,0
7/1/2013 0:00,17000,0
7/1/2013 0:00,17300,10946
7/1/2013 0:00,17401,6447
7/1/2013 0:00,17500,3621
7/1/2013 0:00,17600,0
7/1/2013 0:00,17601,0
7/1/2013 0:00,17700,0
7/1/2013 0:00,17701,0
7/1/2013 0:00,17800,5019
7/1/2013 0:00,17801,3070
7/1/2013 0:00,17900,0
7/1/2013 0:00,17901,0
7/1/2013 0:00,18000,1530
7/1/2013 0:00,18001,0
7/1/2013 0:00,18200,1986
7/1/2013 0:00,18201,436
7/1/2013 0:00,18300,2881
7/1/2013 0:00,18301,1628
7/1/2013 0:00,18400,0
7/1/2013 0:00,18401,0
7/1/2013 0:00,18700,0
7/1/2013 0:00,18701,0
7/1/2013 0:00,18801,0
7/1/2013 0:00,20100,4780
7/1/2013 0:00,20101,4144
7/1/2013 0:00,20200,5436
7/1/2013 0:00,20201,5029
7/1/2013 0:00,20300,3675
7/1/2013 0:00,20301,4320
7/1/2013 0:00,20400,0
7/1/2013 0:00,20401,0
7/1/2013 0:00,20500,0
7/1/2013 0:00,20501,0
7/1/2013 0:00,20600,1080
7/1/2013 0:00,20801,1932
7/1/2013 0:00,21200,2259
7/1/2013 0:00,21201,13394
7/1/2013 0:00,21300,12633
7/1/2013 0:00,21301,6590
7/1/2013 0:00,22100,718
7/1/2013 0:00,22101,742
7/1/2013 0:00,22103,158
7/1/2013 0:00,22200,896
7/1/2013 0:00,22201,1123
7/1/2013 0:00,22400,0
7/1/2013 0:00,22401,0
7/1/2013 0:00,24000,5135
7/1/2013 0:00,24001,7469
7/1/2013 0:00,24200,7857
7/1/2013 0:00,24201,1575
7/1/2013 0:00,24700,2543
7/1/2013 0:00,24701,298
7/1/2013 0:00,24800,0
7/1/2013 0:00,24901,8063
7/2/2013 0:00,200,14488
7/2/2013 0:00,201,3766
7/2/2013 0:00,300,9760
7/2/2013 0:00,301,1031
7/2/2013 0:00,500,14096
7/2/2013 0:00,501,2683
7/2/2013 0:00,700,3627
7/2/2013 0:00,701,11914
7/2/2013 0:00,900,0
7/2/2013 0:00,901,0
7/2/2013 0:00,1100,8780
7/2/2013 0:00,1101,6485
7/2/2013 0:00,1600,649
7/2/2013 0:00,1601,452
7/2/2013 0:00,2500,1692
7/2/2013 0:00,2501,4466
7/2/2013 0:00,3100,2736
7/2/2013 0:00,3101,12435
7/2/2013 0:00,3400,9293
7/2/2013 0:00,3401,12144
7/2/2013 0:00,3501,16229
7/2/2013 0:00,3502,2424
7/2/2013 0:00,3700,5036
7/2/2013 0:00,3701,4037
7/2/2013 0:00,4100,4174
7/2/2013 0:00,4201,2888
7/2/2013 0:00,4300,5763
7/2/2013 0:00,4301,3562
7/2/2013 0:00,4600,9822
7/2/2013 0:00,4601,5188
7/2/2013 0:00,4800,0
7/2/2013 0:00,4801,0
7/2/2013 0:00,5001,0
7/2/2013 0:00,5100,0
7/2/2013 0:00,5200,5342
7/2/2013 0:00,5201,16871
7/2/2013 0:00,5300,401
7/2/2013 0:00,5301,4299
7/2/2013 0:00,6000,1332
7/2/2013 0:00,6001,9013
7/2/2013 0:00,6700,12722
7/2/2013 0:00,6701,5517
7/2/2013 0:00,8000,7217
7/2/2013 0:00,8001,10687
7/2/2013 0:00,8101,2061
7/2/2013 0:00,8200,11742
7/2/2013 0:00,8300,2965
7/2/2013 0:00,8301,3667
7/2/2013 0:00,8500,2206
7/2/2013 0:00,8501,5809
7/2/2013 0:00,8600,6190
7/2/2013 0:00,8601,4265
7/2/2013 0:00,10101,0
7/2/2013 0:00,10200,0
7/2/2013 0:00,10400,0
7/2/2013 0:00,10401,0
7/2/2013 0:00,11000,4599
7/2/2013 0:00,11001,1107
7/2/2013 0:00,11100,2067
7/2/2013 0:00,11101,10265
7/2/2013 0:00,11200,8777
7/2/2013 0:00,12000,3999
7/2/2013 0:00,12001,1142
7/2/2013 0:00,12700,0
7/2/2013 0:00,12701,0
7/2/2013 0:00,12800,0
7/2/2013 0:00,12801,0
7/2/2013 0:00,13000,4640
7/2/2013 0:00,13001,7415
7/2/2013 0:00,13100,0
7/2/2013 0:00,13101,0
7/2/2013 0:00,13200,11906
7/2/2013 0:00,13301,525
7/2/2013 0:00,13400,0
7/2/2013 0:00,13501,0
7/2/2013 0:00,13600,3059
7/2/2013 0:00,13601,626
7/2/2013 0:00,14000,0
7/2/2013 0:00,14001,0
7/2/2013 0:00,14100,6525
7/2/2013 0:00,14101,1686
7/2/2013 0:00,14200,2309
7/2/2013 0:00,14201,7801
7/2/2013 0:00,14800,0
7/2/2013 0:00,14801,0
7/2/2013 0:00,14901,0
7/2/2013 0:00,15000,0
7/2/2013 0:00,15001,0
7/2/2013 0:00,15500,2299
7/2/2013 0:00,15501,2020
7/2/2013 0:00,15600,4994
7/2/2013 0:00,15601,4763
7/2/2013 0:00,15900,11562
7/2/2013 0:00,15901,13027
7/2/2013 0:00,16100,875
7/2/2013 0:00,16101,2701
7/2/2013 0:00,16200,0
7/2/2013 0:00,16900,0
7/2/2013 0:00,16901,0
7/2/2013 0:00,17000,0
7/2/2013 0:00,17300,11592
7/2/2013 0:00,17401,6822
7/2/2013 0:00,17500,3868
7/2/2013 0:00,17600,0
7/2/2013 0:00,17601,0
7/2/2013 0:00,17700,0
7/2/2013 0:00,17701,0
7/2/2013 0:00,17800,5237
7/2/2013 0:00,17801,3042
7/2/2013 0:00,17900,0
7/2/2013 0:00,17901,0
7/2/2013 0:00,18000,1554
7/2/2013 0:00,18001,0
7/2/2013 0:00,18200,2201
7/2/2013 0:00,18201,588
7/2/2013 0:00,18300,3054
7/2/2013 0:00,18301,1695
7/2/2013 0:00,18400,0
7/2/2013 0:00,18401,0
7/2/2013 0:00,18700,0
7/2/2013 0:00,18701,0
7/2/2013 0:00,18801,0
7/2/2013 0:00,20100,4856
7/2/2013 0:00,20101,4253
7/2/2013 0:00,20200,5842
7/2/2013 0:00,20201,5159
7/2/2013 0:00,20300,3622
7/2/2013 0:00,20301,4557
7/2/2013 0:00,20400,0
7/2/2013 0:00,20401,0
7/2/2013 0:00,20500,0
7/2/2013 0:00,20501,0
7/2/2013 0:00,20600,1075
7/2/2013 0:00,20801,2122
7/2/2013 0:00,21200,2648
7/2/2013 0:00,21201,13814
7/2/2013 0:00,21300,13408
7/2/2013 0:00,21301,6517
7/2/2013 0:00,22100,784
7/2/2013 0:00,22101,843
7/2/2013 0:00,22103,148
7/2/2013 0:00,22200,1020
7/2/2013 0:00,22201,1248
7/2/2013 0:00,22400,0
7/2/2013 0:00,22401,0
7/2/2013 0:00,24000,5304
7/2/2013 0:00,24001,7851
7/2/2013 0:00,24200,8509
7/2/2013 0:00,24201,1629
7/2/2013 0:00,24700,2620
7/2/2013 0:00,24701,237
7/2/2013 0:00,24800,0
7/2/2013 0:00,24901,8586
7/3/2013 0:00,200,15528
7/3/2013 0:00,201,3754
7/3/2013 0:00,300,9855
7/3/2013 0:00,301,919
7/3/2013 0:00,500,14412
7/3/2013 0:00,501,2528
7/3/2013 0:00,700,3617
7/3/2013 0:00,701,12270
7/3/2013 0:00,900,0
7/3/2013 0:00,901,0
7/3/2013 0:00,1100,10047
7/3/2013 0:00,1101,6266
7/3/2013 0:00,1600,925
7/3/2013 0:00,1601,428
7/3/2013 0:00,2500,2349
7/3/2013 0:00,2501,4348
7/3/2013 0:00,3100,3009
7/3/2013 0:00,3101,12566
7/3/2013 0:00,3400,9667
7/3/2013 0:00,3401,11941
7/3/2013 0:00,3501,15985
7/3/2013 0:00,3502,2157
7/3/2013 0:00,3700,5105
7/3/2013 0:00,3701,4151
7/3/2013 0:00,4100,4577
7/3/2013 0:00,4201,2830
7/3/2013 0:00,4300,6254
7/3/2013 0:00,4301,3368
7/3/2013 0:00,4600,10576
7/3/2013 0:00,4601,5071
7/3/2013 0:00,4800,0
7/3/2013 0:00,4801,0
7/3/2013 0:00,5001,0
7/3/2013 0:00,5100,0
7/3/2013 0:00,5200,4735
7/3/2013 0:00,5201,16942
7/3/2013 0:00,5300,360
7/3/2013 0:00,5301,4267
7/3/2013 0:00,6000,1340
7/3/2013 0:00,6001,9309
7/3/2013 0:00,6700,12749
7/3/2013 0:00,6701,5306
7/3/2013 0:00,8000,7445
7/3/2013 0:00,8001,10331
7/3/2013 0:00,8101,2001
7/3/2013 0:00,8200,11871
7/3/2013 0:00,8300,2895
7/3/2013 0:00,8301,3597
7/3/2013 0:00,8500,2095
7/3/2013 0:00,8501,5599
7/3/2013 0:00,8600,6079
7/3/2013 0:00,8601,4138
7/3/2013 0:00,10101,0
7/3/2013 0:00,10200,0
7/3/2013 0:00,10400,0
7/3/2013 0:00,10401,0
7/3/2013 0:00,11000,6067
7/3/2013 0:00,11001,1045
7/3/2013 0:00,11100,2293
7/3/2013 0:00,11101,10010
7/3/2013 0:00,11200,10086
7/3/2013 0:00,12000,4468
7/3/2013 0:00,12001,1073
7/3/2013 0:00,12700,0
7/3/2013 0:00,12701,0
7/3/2013 0:00,12800,0
7/3/2013 0:00,12801,0
7/3/2013 0:00,13000,4747
7/3/2013 0:00,13001,7555
7/3/2013 0:00,13100,0
7/3/2013 0:00,13101,0
7/3/2013 0:00,13200,12275
7/3/2013 0:00,13301,568
7/3/2013 0:00,13400,0
7/3/2013 0:00,13501,0
7/3/2013 0:00,13600,3628
7/3/2013 0:00,13601,648
7/3/2013 0:00,14000,0
7/3/2013 0:00,14001,0
7/3/2013 0:00,14100,6633
7/3/2013 0:00,14101,1543
7/3/2013 0:00,14200,2337
7/3/2013 0:00,14201,7814
7/3/2013 0:00,14800,0
7/3/2013 0:00,14801,0
7/3/2013 0:00,14901,0
7/3/2013 0:00,15000,0
7/3/2013 0:00,15001,0
7/3/2013 0:00,15500,2338
7/3/2013 0:00,15501,1795
7/3/2013 0:00,15600,5167
7/3/2013 0:00,15601,4625
7/3/2013 0:00,15900,11394
7/3/2013 0:00,15901,12622
7/3/2013 0:00,16100,792
7/3/2013 0:00,16101,2531
7/3/2013 0:00,16200,0
