Timestamp,Location Identifier,Total Flow
5/1/2013 0:00,200,15418
5/1/2013 0:00,201,4245
5/1/2013 0:00,300,996
5/1/2013 0:00,301,3
5/1/2013 0:00,500,15082
5/1/2013 0:00,501,2525
5/1/2013 0:00,700,4120
5/1/2013 0:00,701,14607
5/1/2013 0:00,900,0
5/1/2013 0:00,901,0
5/1/2013 0:00,1100,9405
5/1/2013 0:00,1101,7396
5/1/2013 0:00,1600,6503
5/1/2013 0:00,1601,3899
5/1/2013 0:00,2500,12
5/1/2013 0:00,2501,336
5/1/2013 0:00,3100,3062
5/1/2013 0:00,3101,14246
5/1/2013 0:00,3400,10190
5/1/2013 0:00,3401,13393
5/1/2013 0:00,3501,19636
5/1/2013 0:00,3502,2642
5/1/2013 0:00,3700,6122
5/1/2013 0:00,3701,4876
5/1/2013 0:00,4100,4313
5/1/2013 0:00,4201,2877
5/1/2013 0:00,4300,5918
5/1/2013 0:00,4301,3636
5/1/2013 0:00,4600,10615
5/1/2013 0:00,4601,5283
5/1/2013 0:00,4800,0
5/1/2013 0:00,4801,0
5/1/2013 0:00,5001,0
5/1/2013 0:00,5100,0
5/1/2013 0:00,5200,5993
5/1/2013 0:00,5201,18890
5/1/2013 0:00,5300,505
5/1/2013 0:00,5301,4632
5/1/2013 0:00,6000,1527
5/1/2013 0:00,6001,9989
5/1/2013 0:00,6700,13344
5/1/2013 0:00,6701,5707
5/1/2013 0:00,8000,6984
5/1/2013 0:00,8001,10012
5/1/2013 0:00,8101,2307
5/1/2013 0:00,8200,12380
5/1/2013 0:00,8300,3542
5/1/2013 0:00,8301,4097
5/1/2013 0:00,8500,977
5/1/2013 0:00,8501,4905
5/1/2013 0:00,8600,7635
5/1/2013 0:00,8601,5501
5/1/2013 0:00,10101,0
5/1/2013 0:00,10200,0
5/1/2013 0:00,10400,0
5/1/2013 0:00,10401,0
5/1/2013 0:00,11000,4798
5/1/2013 0:00,11001,1414
5/1/2013 0:00,11100,2172
5/1/2013 0:00,11101,11136
5/1/2013 0:00,11200,9340
5/1/2013 0:00,12000,4157
5/1/2013 0:00,12001,1334
5/1/2013 0:00,12700,0
5/1/2013 0:00,12701,0
5/1/2013 0:00,12800,0
5/1/2013 0:00,12801,0
5/1/2013 0:00,13000,5097
5/1/2013 0:00,13001,8424
5/1/2013 0:00,13100,0
5/1/2013 0:00,13101,0
5/1/2013 0:00,13200,12884
5/1/2013 0:00,13301,688
5/1/2013 0:00,13400,5898
5/1/2013 0:00,13501,0
5/1/2013 0:00,13600,3500
5/1/2013 0:00,13601,887
5/1/2013 0:00,14000,0
5/1/2013 0:00,14001,0
5/1/2013 0:00,14100,7348
5/1/2013 0:00,14101,1801
5/1/2013 0:00,14200,2595
5/1/2013 0:00,14201,8276
5/1/2013 0:00,14800,0
5/1/2013 0:00,14801,0
5/1/2013 0:00,14901,0
5/1/2013 0:00,15000,0
5/1/2013 0:00,15001,0
5/1/2013 0:00,15500,2486
5/1/2013 0:00,15501,2479
5/1/2013 0:00,15600,6104
5/1/2013 0:00,15601,5555
5/1/2013 0:00,15900,12435
5/1/2013 0:00,15901,13818
5/1/2013 0:00,16100,992
5/1/2013 0:00,16101,2912
5/1/2013 0:00,16200,0
5/1/2013 0:00,16900,0
5/1/2013 0:00,16901,0
5/1/2013 0:00,17000,0
5/1/2013 0:00,17300,12915
5/1/2013 0:00,17401,7104
5/1/2013 0:00,17500,4154
5/1/2013 0:00,17600,0
5/1/2013 0:00,17601,0
5/1/2013 0:00,17700,0
5/1/2013 0:00,17701,0
5/1/2013 0:00,17800,5669
5/1/2013 0:00,17801,3444
5/1/2013 0:00,17900,288
5/1/2013 0:00,17901,829
5/1/2013 0:00,18000,1410
5/1/2013 0:00,18001,0
5/1/2013 0:00,18200,2227
5/1/2013 0:00,18201,410
5/1/2013 0:00,18300,3117
5/1/2013 0:00,18301,1762
5/1/2013 0:00,18400,0
5/1/2013 0:00,18401,0
5/1/2013 0:00,18700,0
5/1/2013 0:00,18701,0
5/1/2013 0:00,18801,0
5/1/2013 0:00,20100,5308
5/1/2013 0:00,20101,4586
5/1/2013 0:00,20200,6414
5/1/2013 0:00,20201,5636
5/1/2013 0:00,20300,4521
5/1/2013 0:00,20301,5135
5/1/2013 0:00,20400,0
5/1/2013 0:00,20401,0
5/1/2013 0:00,20500,0
5/1/2013 0:00,20501,0
5/1/2013 0:00,20600,1404
5/1/2013 0:00,20801,2109
5/1/2013 0:00,21200,2707
