Timestamp,Location Identifier,Total Flow
3/1/2013 0:00,200,17124
3/1/2013 0:00,201,5033
3/1/2013 0:00,300,1332
3/1/2013 0:00,301,6
3/1/2013 0:00,500,0
3/1/2013 0:00,501,0
3/1/2013 0:00,700,4389
3/1/2013 0:00,701,15062
3/1/2013 0:00,900,0
3/1/2013 0:00,901,0
3/1/2013 0:00,1100,10981
3/1/2013 0:00,1101,7559
3/1/2013 0:00,1600,9251
3/1/2013 0:00,1601,4844
3/1/2013 0:00,2500,42
3/1/2013 0:00,2501,450
3/1/2013 0:00,3100,1006
3/1/2013 0:00,3101,7874
3/1/2013 0:00,3400,11065
3/1/2013 0:00,3401,13325
3/1/2013 0:00,3501,21054
3/1/2013 0:00,3502,2382
3/1/2013 0:00,3700,6550
3/1/2013 0:00,3701,5590
3/1/2013 0:00,4100,4590
3/1/2013 0:00,4201,2801
3/1/2013 0:00,4300,6298
3/1/2013 0:00,4301,3577
3/1/2013 0:00,4600,11684
3/1/2013 0:00,4601,5928
3/1/2013 0:00,4800,802
3/1/2013 0:00,4801,2364
3/1/2013 0:00,5001,0
3/1/2013 0:00,5100,0
3/1/2013 0:00,5200,6069
3/1/2013 0:00,5201,18834
3/1/2013 0:00,5300,504
3/1/2013 0:00,5301,4596
3/1/2013 0:00,6000,1586
3/1/2013 0:00,6001,10081
3/1/2013 0:00,6700,13978
3/1/2013 0:00,6701,5969
3/1/2013 0:00,8000,7973
3/1/2013 0:00,8001,11339
3/1/2013 0:00,8101,2562
3/1/2013 0:00,8200,12768
3/1/2013 0:00,8300,3239
3/1/2013 0:00,8301,3964
3/1/2013 0:00,8500,1459
3/1/2013 0:00,8501,5282
3/1/2013 0:00,8600,7625
3/1/2013 0:00,8601,5860
3/1/2013 0:00,10101,0
3/1/2013 0:00,10200,0
3/1/2013 0:00,10400,0
3/1/2013 0:00,10401,0
3/1/2013 0:00,11000,6509
3/1/2013 0:00,11001,1642
3/1/2013 0:00,11100,2888
3/1/2013 0:00,11101,11478
3/1/2013 0:00,11200,10634
3/1/2013 0:00,12000,4418
3/1/2013 0:00,12001,1123
3/1/2013 0:00,12700,0
3/1/2013 0:00,12701,0
3/1/2013 0:00,12800,0
3/1/2013 0:00,12801,0
3/1/2013 0:00,13000,5315
3/1/2013 0:00,13001,8473
3/1/2013 0:00,13100,0
3/1/2013 0:00,13101,0
3/1/2013 0:00,13200,14247
3/1/2013 0:00,13301,808
3/1/2013 0:00,13400,7374
3/1/2013 0:00,13501,5910
3/1/2013 0:00,13600,4317
3/1/2013 0:00,13601,987
3/1/2013 0:00,14000,5798
3/1/2013 0:00,14001,3844
3/1/2013 0:00,14100,7652
3/1/2013 0:00,14101,1987
3/1/2013 0:00,14200,2876
3/1/2013 0:00,14201,9059
3/1/2013 0:00,14800,0
3/1/2013 0:00,14801,0
3/1/2013 0:00,14901,0
3/1/2013 0:00,15000,0
3/1/2013 0:00,15001,0
3/1/2013 0:00,15500,2489
3/1/2013 0:00,15501,2494
3/1/2013 0:00,15600,6438
3/1/2013 0:00,15601,5486
3/1/2013 0:00,15900,12480
3/1/2013 0:00,15901,14469
3/1/2013 0:00,16100,1091
3/1/2013 0:00,16101,3003
3/1/2013 0:00,16200,0
3/1/2013 0:00,16900,0
3/1/2013 0:00,16901,0
3/1/2013 0:00,17000,0
3/1/2013 0:00,17300,14055
3/1/2013 0:00,17401,7713
3/1/2013 0:00,17500,4746
3/1/2013 0:00,17600,0
3/1/2013 0:00,17601,0
3/1/2013 0:00,17700,0
3/1/2013 0:00,17701,0
3/1/2013 0:00,17800,5732
3/1/2013 0:00,17801,3377
3/1/2013 0:00,17900,303
3/1/2013 0:00,17901,964
3/1/2013 0:00,18000,1556
3/1/2013 0:00,18001,0
3/1/2013 0:00,18200,2511
3/1/2013 0:00,18201,778
3/1/2013 0:00,18300,3458
3/1/2013 0:00,18301,1878
3/1/2013 0:00,18400,0
3/1/2013 0:00,18401,0
3/1/2013 0:00,18700,0
3/1/2013 0:00,18701,0
3/1/2013 0:00,18801,0
3/1/2013 0:00,20100,5487
3/1/2013 0:00,20101,4503
3/1/2013 0:00,20200,6019
3/1/2013 0:00,20201,5511
3/1/2013 0:00,20300,4121
3/1/2013 0:00,20301,4810
3/1/2013 0:00,20400,0
3/1/2013 0:00,20401,0
3/1/2013 0:00,20500,2872
3/1/2013 0:00,20501,17714
3/1/2013 0:00,20600,1399
3/1/2013 0:00,20801,2462
3/1/2013 0:00,21200,3102
3/1/2013 0:00,21201,14901
3/1/2013 0:00,21300,15822
3/1/2013 0:00,21301,7624
3/1/2013 0:00,22100,916
3/1/2013 0:00,22101,971
3/1/2013 0:00,22103,219
3/1/2013 0:00,22200,1086
